公司代号,职位名称,工作年限,公司规模,城市,薪水
5002,python开发工程师,1-3年,50-150人,上海,15k-25k
172285,python开发工程师,5-10年,500-2000人,北京,20k-30k
172285,Python开发工程师,3-5年,500-2000人,北京,18k-35k
121835208,python开发工程师,1-3年,150-500人,深圳,8k-9k
63500,python工程师,3-5年,500-2000人,深圳,14k-18k
200584,python开发工程师,3-5年,50-150人,北京,15k-20k
182070,python开发工程师,不限,2000人以上,深圳,15k-30k
161720,python开发工程师,5-10年,2000人以上,上海,18k-36k
22481,python开发工程师,1-3年,150-500人,上海,12k-18k
19083,Python开发工程师,3-5年,150-500人,北京,15k-30k
255,python开发工程师,1-3年,50-150人,北京,15k-25k
1015,Python,3-5年,150-500人,深圳,15k-30k
117217,python开发工程师,3-5年,500-2000人,深圳,14k-16k
73354,python开发工程师,3-5年,150-500人,深圳,18k-33k
117593084,python开发工程师,不限,50-150人,上海,15k-25k
221192,Python 开发工程师,3-5年,50-150人,北京,20k-40k
272637,python,3-5年,50-150人,北京,20k-35k
127922,python工程师,1-3年,50-150人,广州,10k-20k
15083,Python开发工程师,5-10年,50-150人,北京,20k-30k
121967346,Python开发工程师,1-3年,少于15人,北京,10k-20k
11783,Python开发工程师,3-5年,50-150人,西安,9k-15k
211490,python开发工程师,3-5年,500-2000人,上海,14k-20k
164331,python开发工程师,3-5年,15-50人,北京,15k-30k
128998,python开发工程师,3-5年,500-2000人,深圳,12k-20k
525743,Python开发工程师,3-5年,50-150人,广州,8k-12k
145597,python开发工程师,3-5年,150-500人,大连,8k-12k
145597,python开发工程师,3-5年,150-500人,北京,18k-25k
766,Python开发工程师,3-5年,150-500人,北京,15k-30k
348784,Python,3-5年,50-150人,杭州,15k-28k
471897,python开发工程师,1-3年,15-50人,上海,8k-16k
16799,python开发工程师,3-5年,2000人以上,北京,25k-50k
525743,Python开发工程师,3-5年,50-150人,广州,8k-12k
124770,python开发工程师,3-5年,150-500人,北京,15k-20k
149944,python开发工程师,3-5年,50-150人,深圳,18k-35k
55446,Python工程师,3-5年,2000人以上,北京,20k-40k
145597,python开发工程师,3-5年,150-500人,大连,8k-12k
97882,python开发工程师,3-5年,150-500人,北京,15k-25k
84502297,python开发工程师,3-5年,2000人以上,深圳,15k-20k
11783,python开发工程师,3-5年,50-150人,西安,10k-15k
32836,python开发工程师,5-10年,2000人以上,上海,20k-30k
35770,python开发工程师,3-5年,50-150人,北京,15k-25k
167844,python开发工程师,1-3年,150-500人,深圳,12k-18k
202633,python工程师,3-5年,500-2000人,上海,15k-25k
167844,python开发工程师,1-3年,150-500人,深圳,12k-18k
5002,python开发工程师,1-3年,50-150人,上海,15k-25k
5002,python开发工程师,1-3年,50-150人,上海,15k-25k
85685,python开发工程师,3-5年,2000人以上,北京,10k-12k
688994,python开发工程师,3-5年,50-150人,北京,15k-30k
120579310,python开发工程师,不限,50-150人,北京,15k-25k
498595,python开发工程师,3-5年,50-150人,厦门,12k-20k
56474,python开发工程师,3-5年,50-150人,上海,16k-28k
82764512,python工程师,3-5年,150-500人,上海,15k-25k
29211,Python开发工程师,3-5年,2000人以上,杭州,12k-17k
122091504,python开发工程师,不限,15-50人,石家庄,6k-12k
84502666,python,在校/应届,15-50人,北京,8k-12k
145597,Python开发工程师,3-5年,150-500人,大连,10k-15k
167844,python开发工程师,3-5年,150-500人,深圳,15k-20k
543898,Python开发工程师,3-5年,15-50人,北京,15k-30k
22897,python开发工程师,5-10年,150-500人,上海,20k-40k
206460,Python开发工程师,不限,50-150人,武汉,7k-14k
758728,python开发工程师,3-5年,15-50人,深圳,13k-20k
84502297,python,5-10年,2000人以上,深圳,14k-20k
168991,Python开发工程师,3-5年,500-2000人,北京,20k-40k
129945,Python,3-5年,500-2000人,深圳,10k-20k
50784,python工程师,1-3年,500-2000人,广州,13k-25k
81421,python,不限,50-150人,武汉,8k-12k
29618,python开发工程师,3-5年,500-2000人,南京,14k-18k
85685,python开发工程师,3-5年,2000人以上,西安,11k-14k
141969,python开发工程师,3-5年,500-2000人,北京,20k-35k
117708304,python开发工程师,1-3年,少于15人,北京,15k-25k
87747,python工程师,3-5年,50-150人,北京,15k-25k
609175,python开发工程师,3-5年,500-2000人,深圳,15k-20k
111175,python开发工程师,1-3年,50-150人,武汉,8k-15k
352383,python工程师,1-3年,15-50人,深圳,12k-24k
111175,Python开发工程师,1-3年,50-150人,北京,12k-20k
111175,Python开发工程师,1-3年,50-150人,北京,12k-20k
96434,python开发工程师,3-5年,50-150人,北京,10k-20k
71514,python开发工程师,3-5年,500-2000人,上海,15k-25k
751505,python开发工程师,1-3年,150-500人,上海,10k-15k
394190,python开发工程师,3-5年,50-150人,北京,15k-25k
106387,python,3-5年,50-150人,上海,18k-35k
106387,python开发工程师,3-5年,50-150人,上海,15k-25k
93936,Python工程师,3-5年,50-150人,北京,15k-25k
93936,Python开发工程师,3-5年,50-150人,广州,15k-25k
144347,python开发工程师,1-3年,50-150人,杭州,10k-15k
64327,Python工程师,1-3年,50-150人,深圳,12k-24k
357564,python开发工程师,1年以下,150-500人,北京,10k-20k
117974271,python开发工程师,3-5年,150-500人,深圳,13k-25k
490234,python开发工程师,1-3年,500-2000人,北京,15k-30k
103299,python开发,1-3年,150-500人,武汉,7k-12k
422506,python开发工程师,3-5年,50-150人,上海,17k-25k
304192,Python开发工程师,3-5年,50-150人,北京,15k-25k
121779765,python开发工程师,1-3年,15-50人,成都,8k-12k
15329,python开发工程师,3-5年,500-2000人,上海,12k-18k
424327,python开发工程师,不限,50-150人,成都,7k-9k
758728,Python开发工程师,3-5年,15-50人,深圳,15k-18k
16521,python开发工程师,5-10年,2000人以上,北京,18k-36k
83892,python开发工程师,不限,15-50人,广州,6k-8k
124652,Python开发工程师,1-3年,2000人以上,北京,13k-15k
120996396,python开发工程师,3-5年,50-150人,上海,13k-22k
3038,python开发工程师,1-3年,500-2000人,北京,10k-20k
128830,Python开发工程师,1-3年,50-150人,上海,10k-20k
728551,python开发工程师,3-5年,15-50人,清远,6k-12k
28498,Python开发工程师,不限,150-500人,上海,8k-15k
120593385,python开发工程师,1-3年,2000人以上,上海,17k-22k
30605,python开发工程师,1-3年,500-2000人,北京,15k-25k
54255,python开发工程师,5-10年,50-150人,深圳,15k-25k
54255,python开发工程师,5-10年,50-150人,深圳,15k-20k
356014,python开发工程师,3-5年,150-500人,南京,15k-20k
111643,Python开发工程师,3-5年,2000人以上,广州,15k-30k
543898,Python开发工程师,3-5年,15-50人,北京,15k-30k
61492,python开发工程师,3-5年,500-2000人,长沙,8k-10k
109596,python开发工程师,3-5年,50-150人,南京,15k-20k
47878,python工程师,1-3年,2000人以上,杭州,15k-30k
286431,高级 Python 工程师,5-10年,150-500人,深圳,25k-35k
122091504,python开发工程师,不限,15-50人,石家庄,6k-12k
208798,python开发工程师,1-3年,15-50人,上海,20k-40k
1331,python开发工程师,3-5年,500-2000人,北京,15k-25k
81421,python工程师,不限,50-150人,武汉,18k-24k
62,Python开发工程师-安全方向,1-3年,2000人以上,北京,20k-40k
147,python助教,1-3年,500-2000人,北京,10k-15k
62,高级后端开发工程师（Python）,3-5年,2000人以上,上海,25k-50k
62,服务端开发工程师（Python）,3-5年,2000人以上,上海,20k-40k
119107,python开发工程师,3-5年,150-500人,深圳,18k-30k
35565,Python工程师,在校/应届,50-150人,深圳,3k-6k
84503306,python开发工程师,3-5年,少于15人,上海,18k-35k
144347,python开发工程师,在校/应届,50-150人,杭州,8k-10k
117568486,python开发工程师,在校/应届,150-500人,广州,4k-6k
120703987,后端开发工程师（Go/Python）,3-5年,15-50人,北京,15k-25k
40970,Python开发工程师,在校/应届,500-2000人,北京,7k-9k
205348,python开发工程师,1-3年,15-50人,西安,5k-9k
296939,python开发工程师,1-3年,50-150人,南京,10k-20k
68524,少儿编程老师（Python方向）,不限,2000人以上,深圳,8k-15k
117949810,Python后端开发,1-3年,150-500人,北京,18k-25k
161720,Python数据开发工程师,5-10年,2000人以上,上海,20k-40k
